,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,1w_chg_pct,1m_chg_pct,1y_chg_pct,max_drawdown,ticker,fax,address2,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,ratecode,ratecode2,USD-USD,CNY-USD,TWD-USD,HKD-USD,EUR-USD,rate,rate2
10,23230,Consumer Defensive,6000.0,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company provides cigarettes primarily under the Marlboro brand; cigars and pipe tobacco principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. It sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",Richmond,804 274 2200,VA,United States,[],https://www.altria.com,1.0,6601 West Broad Street,Tobacco,0.59415,0.08453,0.67289,8287000064.0,-0.035,0.5833,12314999808.0,36.0,hold,13940000000.0,7589875200.0,48.25,41.76,-0.577,0.492,0.18627001,16.0,49.28,,3.91081,68.0,2567000064.0,27680000000.0,20726999040.0,1.425,USD,11.357,0.314,2.6,NYQ,"Altria Group, Inc.","Altria Group, Inc.",America/New_York,EDT,False,-14400000,EQUITY,MO,finmb_53839346,us_market,,5.134,,8.642,-0.12715822,,5.09,,1800819968.0,,,,-1.333,17139701,0.0095,,1640908800.0,0.60196996,1740999936.0,0.98,0.9,-0.12230456,,0.00099,1703980800.0,,1656547200.0,2.37,1657843200,1798896502.0,0.620854,106420174848.0,2.0,,860716800,3:1,,1655164800,,-0.585,3.6282263,1660521600,2.08,,8.204322,,0.0095,19950302,0,,,42.03,42.1,48.7813,0.085653104,3.6735,,42.2,,9678320.0,42.03,44.0898,3.6,42.1,,9678320.0,,,3.76,1663113600,,,41.41,USD,42.612244,11979413.0,,,,75202240512.0,,,9931190.0,41.41,41.86,900.0,11979413.0,57.05,,6.61,41.0,41.9,False,0.0833,900.0,42.2,,41.76,42.25,https://logo.clearbit.com/altria.com,-7.096779504476347,-7.773852810643412,-8.752707086828659,-24.74376618948364,MO,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
11,94903,Technology,12600.0,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Rafael, California.",San Rafael,415 507 5000,CA,United States,[],https://www.autodesk.com,1.0,111 McInnis Parkway,Software—Application,0.20868999,0.11761,0.91611,1684300032.0,0.167,0.19088,990099968.0,185.0,buy,4021400000.0,1253624960.0,263.0,208.52,0.635,0.639,0.072340004,21.0,256.8,411.486,0.53970003,355.0,1524999936.0,3044999936.0,4744399872.0,7.065,USD,21.743,0.538,1.9,NMS,"Autodesk, Inc.","Autodesk, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ADSK,finmb_119902,us_market,,9.799,,46.957,-0.2731142,,7.8,,215859008.0,,,,3.426,2377654,0.011,,1643587200.0,0.93373,558000000.0,2.46,0.015,-0.12230456,60.86398,0.0025099998,1706659200.0,,1659225600.0,1.8,1659052800,215461867.0,1.526967,46492073984.0,2.0,,1103587200,2:1,,1111449600,,0.617,9.487168,1661904000,1.39,,26.733334,,0.011,3516981,0,,,208.34,209.19,217.052,0.0,0.0,,210.94,,1481910.0,208.34,205.1752,0.0,209.19,,1481910.0,,,,1111449600,,,206.05,USD,84.76423,1787521.0,,,,45010919424.0,,,1508019.0,206.05,211.0,1000.0,1787521.0,335.48,,,163.2,207.5,False,,800.0,210.94,,208.52,208.75,https://logo.clearbit.com/autodesk.com,1.1300265791096331,-10.904114572619916,-25.35528916538058,-37.5015000846999,ADSK,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
12,5504 DR,Technology,32627.0,"ASML Holding N.V. develops, produces, markets, sells, and services advanced semiconductor equipment systems consisting of lithography, metrology, and inspection related systems for memory and logic chipmakers. The company provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography solutions to manufacture various range of semiconductor nodes and technologies. It also offers metrology and inspection systems, including YieldStar optical metrology solutions to measure the quality of patterns on the wafers; and HMI e-beam solutions to locate and analyze individual chip defects. In addition, the company provides computational lithography and software solutions to create applications that enhance the setup of the lithography system; and mature products and services that refurbish used lithography equipment and offers associated services. It operates in Japan, South Korea, Singapore, Taiwan, China, the Netherlands, Europe, the United States, and rest of Asia. The company was formerly known as ASM Lithography Holding N.V. and changed its name to ASML Holding N.V. in 2001. ASML Holding N.V. was founded in 1984 and is headquartered in Veldhoven, the Netherlands.",Veldhoven,31 480 235 0934,,Netherlands,[],https://www.asml.com,1.0,De Run 6501,Semiconductor Equipment & Materials,0.34724,0.29282,0.51102,10185400320.0,0.351,0.32174,6664200192.0,472.0,buy,9809000000.0,5230012416.0,620.63,478.1,0.405,1.355,0.12923001,7.0,670.16,57.669,0.56933,849.49,4401900032.0,4410899968.0,19191799808.0,11.082,EUR,47.705,0.816,2.0,NMS,ASML Holding N.V. - New York Re,ASML Holding N.V.,America/New_York,EDT,False,-14400000,EQUITY,ASML,finmb_388904,us_market,,9.751,,28.08,-0.4702754,,20.65,,397200000.0,,,,19.256,704900,0.0018000001,,1640908800.0,0.19721001,5619800064.0,14.11,1.399,-0.12230456,24.828625,2.0000001e-05,1703980800.0,,1656806400.0,0.87,1659052800,397088784.0,1.178571,187129921536.0,2.0,,1191196800,8:9,,1659571200,,0.359,9.766924,1661904000,1.02,,23.152544,,,977981,0,,,471.1,476.97,610.0115,0.010762046,0.39650002,,481.53,,1068050.0,471.1,515.8174,5.07,476.97,,1068050.0,,,5.29,1659571200,,,471.1362,USD,33.88377,663491.0,,,,187444854784.0,,,1051751.0,471.1362,482.0,800.0,663491.0,890.01,,0.81,412.67,478.5,False,0.0105,800.0,481.53,,478.1,476.4,https://logo.clearbit.com/asml.com,0.2978965867149741,-16.843496004221738,-45.49463546101107,-45.571857506099654,ASML,,,,,,,EUR-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,0.9974067807197571,1.0
13,68131,Financial Services,372000.0,"Berkshire Hathaway Inc., through its subsidiaries, engages in the insurance, freight rail transportation, and utility businesses worldwide. It provides property, casualty, life, accident, and health insurance and reinsurance; and operates railroad systems in North America. The company also generates, transmits, stores, and distributes electricity from natural gas, coal, wind, solar, hydroelectric, nuclear, and geothermal sources; operates natural gas distribution and storage facilities, interstate pipelines, liquefied natural gas facilities, and compressor and meter stations; and holds interest in coal mining assets. In addition, the company manufactures boxed chocolates and other confectionery products; specialty chemicals, metal cutting tools, and components for aerospace and power generation applications; flooring products; insulation, roofing, and engineered products; building and engineered components; paints and coatings; and bricks and masonry products, as well as offers manufactured and site-built home construction, and related lending and financial services. Further, it provides recreational vehicles, apparel products, jewelry, and custom picture framing products, as well as alkaline batteries; castings, forgings, fasteners/fastener systems, and aerostructures; and seamless pipes, fittings, downhole casing and tubing, and mill forms. Additionally, the company distributes televisions and information; franchises and services quick service restaurants; distributes electronic components; and offers logistics services, grocery and foodservice distribution services, and professional aviation training and shared aircraft ownership programs. It also retails automobiles; furniture, bedding, and accessories; household appliances, electronics, and computers; jewelry, watches, crystal, china, stemware, flatware, gifts, and collectibles; kitchenware; and motorcycle apparel and equipment. The company was incorporated in 1998 and is headquartered in Omaha, Nebraska.",Omaha,402 346 1400,NE,United States,[],https://www.berkshirehathaway.com,1.0,3555 Farnam Street,Insurance—Diversified,0.091630004,0.04042,0.05436,35222999040.0,0.102,0.05436,26516000768.0,340.0,hold,114863000000.0,-8785125376.0,356.5,278.42,,1.383,0.01079,2.0,356.5,25.355,0.026889998,373.0,105411002368.0,119081000960.0,289370996736.0,71837.86,USD,195086.22,1.18,2.8,NYQ,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.,America/New_York,EDT,False,-14400000,EQUITY,BRK-B,finmb_255251,us_market,,0.078,,0.849,0.0003954172,,15.18,,1301129984.0,,,,313997.47,7665706,0.0034999999,,1640908800.0,0.65542,11694999552.0,4.97,,-0.12230456,0.0008866951,0.00439,1703980800.0,,1656547200.0,2.06,1657843200,1206995.0,0.936476,22502346752.0,2.0,,1264032000,50:1,,,,,2.1183114,1660521600,0.88,,18.34124,,0.0066000004,7598373,0,,,278.29,279.0,307.1032,0.0,0.0,,280.205,,3830270.0,278.29,288.0616,0.0,279.0,,3830270.0,,,,,,,275.64,USD,56.020126,3715374.0,,,,612977868800.0,,,3998687.0,275.64,279.38,1200.0,3715374.0,362.1,,,263.68,278.58,False,,1300.0,280.205,,278.42,278.93,https://logo.clearbit.com/berkshirehathaway.com,-0.9322498710245819,-8.057589758380846,0.44011586110319634,-22.568621476627403,BRK-B,402 346 3375,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
14,10282,Financial Services,47000.0,"The Goldman Sachs Group, Inc., a financial institution, provides a range of financial services for corporations, financial institutions, governments, and individuals worldwide. It operates through four segments: Investment Banking, Global Markets, Asset Management, and Consumer & Wealth Management. The company's Investment Banking segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, and spin-offs; and middle-market lending, relationship lending, and acquisition financing, as well as transaction banking services. This segment also offers underwriting services, such as equity underwriting for common and preferred stock and convertible and exchangeable securities; and debt underwriting for various types of debt instruments, including investment-grade and high-yield debt, bank and bridge loans, and emerging-and growth-market debt, as well as originates structured securities. Its Global Markets segment is involved in client execution activities for cash and derivative instruments; credit and interest rate products; and provision of equity intermediation and equity financing, clearing, settlement, and custody services, as well as mortgages, currencies, commodities, and equities related products. The company's Asset Management segment manages assets across various classes, including equity, fixed income, hedge funds, credit funds, private equity, real estate, currencies, and commodities; and provides customized investment advisory solutions, as well as invests in corporate, real estate, and infrastructure entities. Its Consumer & Wealth Management segment offers wealth advisory and banking services, including financial planning, investment management, deposit taking, and lending; private banking; and unsecured loans, as well as accepts saving and time deposits. The company was founded in 1869 and is headquartered in New York, New York.",New York,212-902-1000,NY,United States,[],https://www.goldmansachs.com,1.0,200 West Street,Capital Markets,0.0,0.32819,0.86642,1159000064.0,-0.277,0.41619,,293.0,buy,52699000000.0,,380.0,327.26,-0.485,1.637,0.010829999,26.0,389.65,507.364,0.1456,511.0,1035404967936.0,602316996608.0,49296998400.0,3181.728,USD,140.748,1.555,2.3,NYQ,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc.",America/New_York,EDT,False,-14400000,EQUITY,GS,finmb_398625,us_market,,-6.29,,,-0.18300784,,38.46,,341356000.0,,,,328.707,5559904,0.0163,,1640908800.0,0.71021,15664000000.0,44.28,2.5,-0.12230456,0.99559796,0.00521,1703980800.0,,1656547200.0,2.16,1657843200,323612886.0,1.364362,-310057861120.0,2.0,,,,,1661904000,,-0.466,2.266105,1660521600,-1.44,,8.509101,,0.0164,5017250,0,,,328.39,328.45,337.7834,0.024361277,0.1807,,330.93,,1818810.0,328.39,327.743,8.0,328.45,,1818810.0,,,10,1661904000,,,323.5,USD,7.390696,1788594.0,,,,111712165888.0,,,2269487.0,323.5,327.29,800.0,1788594.0,426.16,,1.77,277.84,325.72,False,0.0292,1100.0,330.93,,327.26,328.68,https://logo.clearbit.com/goldmansachs.com,-0.9983022196700664,-7.339949989272554,-16.899936533816472,-20.8524999463058,GS,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
15,94086-5304,Healthcare,9793.0,"Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and healthcare providers to enhance the quality of and access to minimally invasive care in the United States and internationally. The company offers the da Vinci Surgical System to enable complex surgery using a minimally invasive approach; and Ion endoluminal system, which extends its commercial offerings beyond surgery into diagnostic procedures enabling minimally invasive biopsies in the lung. It also provides a suite of stapling, energy, and core instrumentation for its surgical systems; progressive learning pathways to support the use of its technology; a complement of services to its customers, including support, installation, repair, and maintenance; and integrated digital capabilities providing unified and connected offerings, streamlining performance for hospitals with program-enhancing insights. The company was incorporated in 1995 and is headquartered in Sunnyvale, California.",Sunnyvale,408 523 2100,CA,United States,[],https://www.intuitive.com,1.0,1020 Kifer Road,Medical Instruments & Supplies,0.34015,0.24053,0.68165,1738800000.0,0.04,0.28484,2028600064,175.0,buy,3958500000.0,1364887552,255.0,210.78,-0.401,5.355,0.08166,15.0,256.2,,0.12655,325.0,4446000128.0,0.0,5963800064.0,12.45,USD,16.673,4.597,2.1,NMS,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ISRG,finmb_30239,us_market,,11.923,,35.052,-0.39341187,,5.45,,357111008.0,,,,33.668,6154882,0.0172,,1640908800.0,0.86253,1434499968.0,3.72,,-0.12230456,6.2605443,0.00525,1703980800.0,,1656547200.0,3.44,1659052800,355364918.0,1.310027,71106707456.0,2.0,,1633392000,3:1,,,,-0.405,12.621459,1661904000,7.09,,38.675232,,0.0173,3849117,0,,,211.4,210.78,261.99316,0.0,0.0,,212.98,,1706480.0,211.4,219.8222,0.0,210.78,,1706480.0,,,,,,,208.555,USD,56.66129,1490897.0,,,,75271856128.0,,,1959140.0,208.555,212.66,1000.0,1490897.0,369.69,,,186.83,210.78,False,,1400.0,212.98,,210.78,211.6,https://logo.clearbit.com/intuitive.com,-0.042678588691869024,-11.533617208553505,-39.14014394524159,-42.318430563743384,ISRG,408 523 1390,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
16,30313,Consumer Defensive,79000.0,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; flavored and enhanced water, and sports drinks; juice, dairy, and plantbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, dogadan, Dasani, glacéau smartwater, glacéau vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, BODYARMOR, Costa, FUZE TEA, Georgia, and Gold Peak brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia.",Atlanta,404 676 2121,GA,United States,[],https://www.coca-colacompany.com,1.0,One Coca-Cola Plaza,Beverages—Non-Alcoholic,0.32012,0.23162001,0.58894,11646000128.0,0.118,0.28746998,13228000256,63.0,buy,23298000000.0,7478499840,70.0,60.79,-0.279,1.127,0.080979995,22.0,69.8,172.628,0.39211,76.0,11619000320.0,42816999424.0,41322000384.0,2.687,USD,9.553,0.785,2.1,NYQ,Coca-Cola Company (The),The Coca-Cola Company,America/New_York,EDT,False,-14400000,EQUITY,KO,finmb_26642,us_market,,7.127,,22.264,0.08214033,,2.6,,4324630016.0,,,,5.318,26862720,0.0062,,1640908800.0,0.71322995,9571000320.0,2.2,0.44,-0.12230456,11.430989,0.0066000004,1703980800.0,,1656633600.0,2.77,1659052800,3894458310.0,0.544546,294506332160.0,2.0,,1344816000,2:1,,1655164800,,-0.279,6.362089,1661904000,4.47,,23.38077,,0.0063,26732776,0,,,60.47,60.64,61.64775,0.028443856,0.78180003,,61.08,,13591450.0,60.47,63.049,1.72,60.64,,13591450.0,,,1.76,1663200000,,,60.44,USD,27.631819,12873480.0,,,,262894256128.0,,,12938335.0,60.44,60.96,900.0,12873480.0,67.2,,3.14,52.28,60.89,False,0.0291,1300.0,61.08,,60.79,60.65,https://logo.clearbit.com/coca-colacompany.com,-2.4394165049966055,-5.75193656507389,11.647268890989793,-7.522724801117731,KO,,,,,,,USD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,1.0,1.0
17,75008,Consumer Cyclical,157953.0,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne operates as a luxury goods company worldwide. The company offers champagnes, wines, and spirits under the Clos des Lambrays, Château d'Yquem, Dom Pérignon, Ruinart, Moët & Chandon, Hennessy, Veuve Clicquot, Ardbeg, Château Cheval Blanc, Glenmorangie, Krug, Mercier, Chandon, Cape Mentelle, Newton Vineyard, Cloudy Bay, Belvedere, Terrazas de los Andes, Bodega Numanthia, Cheval des Andes, Woodinville, Ao Yun, Clos19, and Volcan de mi Tierra brands. It also provides fashion and leather products under the Berluti, Celine, Christian Dior, Emilio Pucci, FENDI, Givenchy, Kenzo, Loewe, Loro Piana, Louis Vuitton, Marc Jacobs, Moynat, Patou, and RIMOWA brands. In addition, the company offers perfumes and cosmetics under the Acqua di Parma, Benefit Cosmetics, Cha Ling, Fenty Beauty by Rihanna, Fresh, Givenchy Parfums, Guerlain, KVD Beauty, Kenzo Parfums, Maison Francis Kurkdjian, Make Up For Ever, Marc Jacobs Beauty, Officine Universelle Buly, Parfums Christian Dior, and Perfumes Loewe brands; watches and jewelry under the Bulgari, Chaumet, Fred, Hublot, Repossi, TAG Heuer, Tiffany & Co., and Zenith brands; and custom-designed yachts under the Feadship brand name, as well as designs and builds luxury yachts under the Royal Van Lent brand. Further, it provides daily newspapers under the Les Échos brand; Belmond, a luxury tourism service; home other activities under the Belmond, Cheval Blanc, Connaissance des Arts, Cova, Investir, Jardin d'Acclimatation, La Samaritaine, Le Parisien, and Radio Classique brands; and selective retailing products under the DFS, La Grande Epicerie de Paris, Le Bon Marché Rive Gauche, Sephora, and Starboard Cruise Services brands, as well as operates Jardin d'Acclimatation, a leisure and amusement park. The company operates 5,556 stores. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was incorporated in 1923 and is headquartered in Paris, France.",Paris,33 1 44 13 22 22,,France,[],https://www.lvmh.com,1.0,"22, Avenue Montaigne",Luxury Goods,0.31057,0.18357,0.68641,18232000512.0,0.281,0.27294,22448001024,172.0,strong_buy,43860000000.0,14318249984,172.0,130.66,0.235,1.168,0.09948,1.0,172.0,70.049,0.29485,172.0,10412999680.0,36925001728.0,72278999040.0,4.148,EUR,28.7352,0.534,1.0,PNK,LVMH MOET HENNESSY VUITTON SE A,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",America/New_York,EDT,False,-14400000,EQUITY,LVMUY,finmb_195488,us_market,,5.213,,16.786,,,,,2517730048.0,,,,14.849,,,,1640908800.0,0.00535,13267999744.0,2.2472,,,8.799246,0.0,1703980800.0,,1656547200.0,,,1251572134.0,0.910876,376810504192.0,2.0,,,,,,,0.232,4.5513444,,,,,,,,,,,128.645,129.91,139.47205,0.046639975,0.378,,131.46,,153440.0,128.645,132.268,6.0,129.91,,153440.0,,,2.15,1650585600,,,129.49,USD,58.143467,170999.0,,,,328966602752.0,,,161616.0,129.49,0.0,0.0,170999.0,171.91,,1.43,112.04,0.0,False,0.0155,0.0,131.46,,130.66,,https://logo.clearbit.com/lvmh.com,1.546596348397511,-8.437276484665768,-13.733799776852617,-22.841616577457323,LVMUY,33 1 44 13 22 23,,,,,0edfdde4-42ae-3a45-8096-3e2845dc0dac,EUR-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,0.9974067807197571,1.0
18,,Financial Services,355982.0,"Ping An Insurance (Group) Company of China, Ltd. provides financial products and services for insurance, banking, asset management, and fintech and healthtech businesses in the People's Republic of China. The company's Life and Health Insurance segment offers term, whole-life, endowment, annuity, investment-linked, universal life, and health care and medical insurance to individual and corporate customers. Its Property and Casualty Insurance segment provides auto, non-auto, and accident and health insurance to individual and corporate customers. The company's Banking segment undertakes loan and intermediary businesses with corporate and retail customers; and offers wealth management and credit card services to individual customers. Its Trust segment provides trust services; and undertakes investing activities. The company's Securities segment offers brokerage, trading, investment banking, and asset management services. Its Other Asset Management segment provides investment management, finance lease, and other asset management services. The company's Technology segment offers financial and daily-life services through internet platforms, such as financial transaction information service platform, and health care service platform. It also provides annuity insurance, investment management, IT and business process outsourcing, real estate investment, futures brokerage, consulting, project investment, financial advisory, currency brokerage, property agency, fund raising and distribution, real estate development and leasing, and insurance agency services. In addition, the company provides factoring, equity investment, financing guarantee, logistics, management consulting, e-commerce, credit information, and private equity financing services; and operates an expressway, as well as produces and sells consumer chemicals. Ping An Insurance (Group) Company of China, Ltd. was founded in 1988 and is based in Shenzhen, China.",Shenzhen,86 40 0886 6338,,China,[],https://www.pingan.com,1.0,Ping An Finance Center,Insurance—Life,0.13548,0.07596,0.30069,271959998464.0,-0.089,0.12779,169525755904,36.01,buy,396039000000.0,-985490128896,73.6,45.9,-0.235,9.478,0.00985,26.0,74.09,191.195,0.110419996,100.03,2038830989312.0,2097553997824.0,1251318038528.0,112.441,CNY,71.242,9.252,1.9,HKG,PING AN,"Ping An Insurance (Group) Company of China, Ltd.",Asia/Hong_Kong,HKT,True,28800000,EQUITY,2318.HK,finmb_33018,hk_market,,0.927,,6.843,,,4,,7447580160.0,,,,42.404,,,,1640908800.0,0.4181,95052996608.0,9.398175,,,1.0824451,0.16922002,1703980800.0,,1648684800.0,,,15624748983.0,0.802108,1160006074368.0,3.0,,1437955200,20:10,,,,-0.241,0.7193978,,,,11.475,,,,,,,47.5,46.55,53.481,0.04631579,0.42380002,,46.9,,21268495.0,47.5,46.755,2.2,46.55,,21268495.0,,,2.86,1654041600,,,45.9,HKD,4.883927,22087964.0,,,,900195418112.0,,,25687714.0,45.9,45.95,0.0,22087964.0,69.4,,2.91,42.55,45.9,False,0.0619,0.0,46.9,,45.9,,https://logo.clearbit.com/pingan.com,0.657901451308307,3.8461555058724395,-18.751322221127566,-33.76623448111863,2318.HK,86 755 8243 1029,"47th, 48th 108th, 109th 110th, 111th & 112th Floors,No. 5033 Yit",,,,43d41b7f-ac6e-3f18-8bfa-416a8586ccfd,CNY-USD,HKD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,0.14442309737205505,0.1274336725473404
19,300096,Technology,54193.0,"Taiwan Semiconductor Manufacturing Company Limited manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides complementary metal oxide silicon wafer fabrication processes to manufacture logic, mixed-signal, radio frequency, and embedded memory semiconductors. The company also offers customer support, account management, and engineering services, as well as manufactures masks. Its products are used in mobile devices, high performance computing, automotive electronics, and internet of things markets. The company was incorporated in 1987 and is headquartered in Hsinchu City, Taiwan.",Hsinchu City,886 3 563 6688,,Taiwan,[],https://www.tsmc.com,1.0,Hsinchu Science Park,Semiconductors,0.67837995,0.40587002,0.54957,,0.435,0.44752,1274059292672,88.0,buy,819537266000.0,,122.81,79.66,0.768,,,9.0,129.98,35.208,,175.0,1297334534144.0,817332813824.0,1878076555264.0,250.161,TWD,362.14,,1.7,NYQ,Taiwan Semiconductor Manufactur,Taiwan Semiconductor Manufacturing Company Limited,America/New_York,EDT,False,-14400000,EQUITY,TSM,finmb_380075,us_market,,-0.008,,-0.011,,,4.56,,5186079744.0,,,,374.275,21401389,0.0041,,1640908800.0,0.17355,762250526720.0,3.73,,,0.21283817,0.00043000001,1703980800.0,,1656547200.0,1.73,1655251200,4836308020.0,1.102596,-14105754624.0,2.0,,1247616000,1005:1000,,,,0.764,0.21997139,1657843200,0.62,,17.4693,,,11389305,,,,78.81,79.74,101.41725,0.09516559,0.42740002,,80.155,,9623770.0,78.81,84.766,7.5,79.74,,9623770.0,,,1.94,1655337600,,,78.98,USD,21.35657,8434387.0,,,,413123117056.0,,,11230662.0,78.98,79.96,1100.0,8434387.0,145.0,,2.66,73.74,79.67,False,0.022,1100.0,80.155,,79.66,79.62,https://logo.clearbit.com/tsmc.com,-0.36271832045290386,-13.006438869069935,-34.7486871708553,-43.366983088193976,TSM,886 3 563 7000,"No. 8, Li-Hsin Road 6",,,,a22510a4-756f-3424-8b07-71b132611395,TWD-USD,USD-USD,1,0.14442309737205505,0.03215744346380234,0.1274336725473404,0.9974067807197571,0.03215744346380234,1.0
